ExchemGF,PMV,experimental_HFE
2.69E+01,2.09E+02,-2.49
1.60E+01,1.32E+02,-4.72
4.77E+01,3.29E+02,-3.04
2.01E+01,1.62E+02,-4.59
1.73E+01,1.58E+02,-3.82
1.54E+01,1.36E+02,-2.93
2.28E+01,1.61E+02,-0.98
1.42E+01,1.07E+02,-0.74
3.52E+01,2.22E+02,2.89
1.86E+01,1.37E+02,-1.59
3.23E+01,2.43E+02,-3.75
1.57E+01,1.47E+02,-4.55
2.30E+01,1.72E+02,-2.73
1.83E+01,1.32E+02,-0.53
1.78E+01,1.22E+02,-0.25
2.49E+01,1.81E+02,-2.82
2.33E+01,1.81E+02,-5.48
2.44E+01,1.53E+02,2.51
2.93E+01,1.91E+02,-0.64
3.40E+01,2.32E+02,-0.83
2.56E+01,2.45E+02,-7.5
1.82E+01,1.31E+02,-1.99
2.39E+01,2.09E+02,-6.88
4.16E+01,3.12E+02,-3.64
2.09E+01,1.66E+02,-4.84
3.60E+01,2.47E+02,-5.22
3.70E+01,2.99E+02,-9.01
2.44E+01,1.76E+02,-0.83
3.21E+01,2.25E+02,-0.68
3.45E+01,2.56E+02,-3.56
3.39E+01,2.51E+02,-2.49
1.65E+01,1.41E+02,-4.93
3.61E+01,3.05E+02,-8.42
2.05E+01,1.47E+02,-0.99
2.16E+01,1.78E+02,-6.16
3.12E+01,2.35E+02,-2.23
2.65E+01,1.87E+02,-0.53
4.03E+00,5.69E+01,-5.1
1.62E+01,1.34E+02,-4.47
1.09E+01,1.22E+02,-7.17
1.88E+01,1.20E+02,1.38
2.31E+01,1.57E+02,0.29
4.95E+00,1.12E+02,-10.08
7.16E+00,8.41E+01,-2.78
2.38E+01,1.88E+02,-2.49
2.77E+01,1.74E+02,3.43
1.17E+01,1.54E+02,-11
2.78E+01,2.20E+02,-3.15
1.64E+01,1.51E+02,-5.85
2.10E+01,1.81E+02,-6.21
2.75E+01,2.43E+02,-5.71
2.17E+01,1.79E+02,-5.26
2.35E+01,1.69E+02,-1.14
2.91E+01,3.29E+02,-10.03
2.35E+01,1.85E+02,-2.4
1.66E+01,1.20E+02,-2.33
1.28E+01,9.77E+01,-1.14
2.44E+01,1.53E+02,2.38
1.95E+01,1.81E+02,-5.88
2.21E+01,1.76E+02,-2.81
2.45E+01,1.58E+02,1.77
3.52E+01,3.88E+02,-6.5
2.91E+01,1.98E+02,-1.62
1.58E+01,1.13E+02,-1.79
2.10E+01,1.79E+02,-6.79
1.68E+01,1.23E+02,-1.1
2.03E+01,1.51E+02,-0.9
1.88E+01,1.53E+02,-3.41
1.87E+01,1.53E+02,-3.52
2.19E+01,1.52E+02,-1.43
2.92E+01,1.94E+02,0
6.12E+00,1.54E+02,-20.52
2.64E+01,1.69E+02,1.47
1.65E+01,1.33E+02,-4.62
2.26E+01,1.72E+02,-2.38
2.45E+01,2.83E+02,-7.19
2.08E+01,1.30E+02,2.1
3.71E+00,4.35E+01,-0.7
2.55E+01,2.63E+02,-9.73
4.68E+01,3.68E+02,-9.34
8.93E+00,8.06E+01,-4.02
7.37E+00,1.12E+02,-10
6.72E+00,7.80E+01,-3.5
1.66E+01,1.41E+02,-4.61
3.40E+01,2.51E+02,-2.07
1.76E+01,1.21E+02,-0.33
2.83E+01,2.01E+02,-0.9
2.81E+01,2.19E+02,-2.7
1.31E+01,8.05E+01,1.83
2.20E+01,1.62E+02,0.1
2.59E+01,2.02E+02,-3.9
1.75E+01,1.25E+02,-1.5
1.29E+01,1.29E+02,-6.6
1.69E+01,1.05E+02,2
3.82E+01,3.03E+02,-7
3.63E+01,3.20E+02,-10.78
1.84E+01,1.33E+02,-0.46
1.37E+01,1.50E+02,-10.17
2.24E+01,1.80E+02,-5.66
2.28E+01,1.45E+02,1.83
2.87E+00,5.20E+01,-2.75
2.53E+01,1.70E+02,-0.1
3.19E+01,2.23E+02,-0.45
4.41E+01,2.79E+02,3.16
1.38E+01,9.63E+01,-0.63
2.81E+01,1.77E+02,2.51
1.61E+01,1.32E+02,-4.5
2.64E+01,2.09E+02,-3.15
3.24E+01,2.89E+02,-10.21
1.62E+01,1.50E+02,-4.42
1.12E+01,1.10E+02,-2.56
1.74E+01,1.84E+02,-9.51
8.20E+00,8.29E+01,-5
3.45E+01,3.08E+02,-14.21
4.00E+01,2.56E+02,2.55
2.32E+01,1.85E+02,-2.56
2.14E+01,1.80E+02,-6.25
2.32E+01,1.86E+02,-2.64
2.04E+01,1.65E+02,-5.22
2.67E+01,2.04E+02,-2.92
2.44E+01,2.17E+02,-6
8.42E+00,8.61E+01,-4.5
1.85E+01,1.36E+02,-1.66
2.32E+01,2.55E+02,-11.85
1.72E+01,1.46E+02,-4.1
1.67E+01,1.61E+02,-7.66
2.05E+01,1.41E+02,-1.45
2.19E+01,1.67E+02,-1.93
2.26E+01,1.78E+02,-3.28
2.25E+01,1.61E+02,-1.36
2.53E+01,1.71E+02,-1.23
1.59E+01,1.07E+02,0.25
5.69E+01,4.06E+02,-2.45
3.36E+01,2.23E+02,0.34
4.38E+01,4.30E+02,-5.74
2.06E+01,2.35E+02,-16.43
3.18E+01,2.01E+02,2.88
3.00E+01,2.50E+02,-4.52
3.09E+01,2.35E+02,-2.26
3.15E+01,1.98E+02,2.56
2.33E+01,1.88E+02,-5.33
1.87E+01,1.83E+02,-4.8
2.58E+01,2.32E+02,-9.76
1.45E+01,1.50E+02,-9.65
2.62E+01,1.79E+02,-0.78
2.42E+01,1.55E+02,1.23
2.50E+01,2.08E+02,-5.04
4.82E+01,4.07E+02,-7.98
1.70E+01,1.68E+02,-9.8
2.88E+00,1.42E+02,-18.72
1.53E+01,1.57E+02,-10.64
2.38E+01,1.83E+02,-2.22
1.36E+01,1.48E+02,-7.77
1.15E+01,1.61E+02,-9.61
1.50E+01,9.30E+01,0.75
1.61E+01,1.34E+02,-4.01
2.05E+01,1.68E+02,-3.68
2.21E+01,1.49E+02,-0.4
2.24E+01,1.80E+02,-2.4
9.09E+00,9.75E+01,-4.78
4.07E+01,2.93E+02,-3.84
4.10E+01,2.93E+02,-3.37
1.34E+01,1.51E+02,-4.68
2.20E+01,1.64E+02,-1.24
2.00E+01,1.57E+02,-4.39
2.17E+01,1.69E+02,-1.88
1.88E+01,2.11E+02,-9.94
2.12E+01,1.80E+02,-6.13
1.70E+01,1.54E+02,-6.13
1.74E+01,1.56E+02,-6.09
2.52E+01,1.89E+02,-3.65
4.69E+01,3.31E+02,-3.71
1.25E+01,1.16E+02,-4.69
3.15E+01,2.46E+02,-3.78
1.46E+01,1.10E+02,-1.4
1.86E+01,1.20E+02,1.16
1.53E+01,1.08E+02,-1.08
1.16E+01,1.03E+02,-4.31
1.49E+01,9.51E+01,1.32
5.40E+00,8.21E+01,-6.69
2.81E+01,2.00E+02,-0.85
3.20E+01,2.93E+02,-7.65
1.62E+01,1.25E+02,-0.9
3.95E+01,2.49E+02,2.93
1.36E+01,1.16E+02,-2.93
2.49E+01,2.57E+02,-11.14
1.21E+01,1.08E+02,-4.85
2.15E+01,1.79E+02,-5.91
3.92E+01,2.81E+02,-3.64
3.59E+01,2.27E+02,2.88
1.58E+01,1.49E+02,-4.91
2.81E+01,1.99E+02,-0.86
1.63E+01,1.56E+02,-5.53
3.46E+01,3.17E+02,-9.41
1.84E+01,1.85E+02,-4.95
2.17E+01,1.46E+02,0.14
2.44E+01,1.76E+02,-0.8
6.82E+00,1.14E+02,-13.43
1.81E+01,1.85E+02,-7.47
2.64E+01,2.32E+02,-7.78
2.83E+01,2.30E+02,-1.92
1.85E+01,1.35E+02,-2.01
5.11E+01,3.48E+02,-3.17
3.60E+01,2.85E+02,-6.23
3.45E+01,2.53E+02,-2.64
9.56E+00,1.41E+02,-8.61
3.00E+01,2.48E+02,-4.04
2.72E+01,2.37E+02,-5.26
1.23E+01,9.21E+01,-0.11
6.84E-01,1.21E+02,-16.92
3.51E+01,2.56E+02,-3.88
1.81E+01,1.38E+02,-3.12
2.08E+01,1.54E+02,-1.74
2.42E+01,1.82E+02,-3.92
9.77E+00,7.68E+01,-0.77
2.77E+01,1.97E+02,-1.21
2.32E+01,1.98E+02,-4.7
1.87E+01,1.61E+02,-5.94
1.92E+01,1.94E+02,-6.34
3.60E+01,2.50E+02,-0.23
2.36E+01,1.81E+02,-4.4
3.12E+01,2.36E+02,-2.11
2.63E+01,2.02E+02,-3.04
2.21E+01,1.92E+02,-4.59
3.13E+01,2.31E+02,-4.09
